ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
ASRI,ASRI.JK,Alam Sutera Realty Tbk.,2007-12-18,19649411888,Utama,active,
ASRM,ASRM.JK,Asuransi Ramayana Tbk.,1990-03-19,1277992036,Pengembangan,active,
ASSA,ASSA.JK,Adi Sarana Armada Tbk.,2012-11-12,3691137517,Utama,active,
ATIC,ATIC.JK,Anabatic Technologies Tbk.,2015-07-08,2315361355,Pengembangan,active,
AUTO,AUTO.JK,Astra Otoparts Tbk.,1998-06-15,4819733000,Utama,active,
BABP,BABP.JK,Bank MNC Internasional Tbk.,2002-07-15,44014333126,Pengembangan,active,
BACA,BACA.JK,Bank Capital Indonesia Tbk.,2007-10-04,19753494636,Utama,active,
BAJA,BAJA.JK,Saranacentral Bajatama Tbk.,2011-12-21,1800000000,Pengembangan,active,
BALI,BALI.JK,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500,Utama,active,
BAPA,BAPA.JK,Bekasi Asri Pemula Tbk.,2008-01-14,661784520,Pengembangan,active,
BATA,BATA.JK,Sepatu Bata Tbk.,1982-03-24,1300000000,Pemantauan Khusus,active,
BAYU,BAYU.JK,Bayu Buana Tbk,1989-10-30,353220780,Utama,active,
BBCA,BBCA.JK,Bank Central Asia Tbk.,2000-05-31,122042299500,Utama,active,
BBHI,BBHI.JK,Allo Bank Indonesia Tbk.,12 Agt 2015,21512953877,Utama,active,
BBKP,BBKP.JK,Bank KB Indonesia Tbk.,2006-07-10,185819884852,Pengembangan,active,
BBLD,BBLD.JK,Buana Finance Tbk.,1990-05-07,1645796054,Pengembangan,active,
BBMD,BBMD.JK,Bank Mestika Dharma Tbk.,2013-07-08,4049189100,Pengembangan,active,
BBNI,BBNI.JK,Bank Negara Indonesia (Persero,1996-11-25,36924339786,Utama,active,
BBRI,BBRI.JK,Bank Rakyat Indonesia (Persero,2003-11-10,150043411587,Utama,active,
BBRM,BBRM.JK,Pelayaran Nasional Bina Buana,2013-01-09,8479490328,Pengembangan,active,
BBTN,BBTN.JK,Bank Tabungan Negara (Persero),2009-12-17,13894099969,Utama,active,
BBYB,BBYB.JK,Bank Neo Commerce Tbk.,2015-01-13,13216977523,Utama,active,
BCAP,BCAP.JK,MNC Kapital Indonesia Tbk.,2001-06-08,42618850927,Utama,active,
BCIC,BCIC.JK,Bank JTrust Indonesia Tbk.,1997-06-25,17926071041,Pengembangan,active,
BCIP,BCIP.JK,Bumi Citra Permai Tbk.,2009-12-11,1429915525,Pengembangan,active,
BDMN,BDMN.JK,Bank Danamon Indonesia Tbk.,1989-12-06,9675817341,Utama,active,
BEKS,BEKS.JK,Bank Pembangunan Daerah Banten,2001-07-13,51351733883,Pemantauan Khusus,active,
BEST,BEST.JK,Bekasi Fajar Industrial Estate,2012-04-10,9647311150,Utama,active,
BFIN,BFIN.JK,BFI Finance  Indonesia Tbk.,1990-05-16,15039383620,Utama,active,
BGTG,BGTG.JK,Bank Ganesha Tbk.,2016-05-12,23731287132,Utama,active,
BHIT,BHIT.JK,MNC Asia Holding Tbk.,1997-11-24,86068156705,Pemantauan Khusus,active,
BIKA,BIKA.JK,Binakarya Jaya Abadi Tbk.,2015-07-14,592280000,Pemantauan Khusus,active,
BIMA,BIMA.JK,Primarindo Asia Infrastructure,30 Agt 1994,608175716,Pemantauan Khusus,active,
BINA,BINA.JK,Bank Ina Perdana Tbk.,2014-01-16,6073369498,Utama,active,
BIPI,BIPI.JK,Astrindo Nusantara Infrastrukt,2010-02-11,63710196917,Pengembangan,active,
BIPP,BIPP.JK,Bhuwanatala Indah Permai Tbk.,1995-10-23,5028669376,Pengembangan,active,
BIRD,BIRD.JK,Blue Bird Tbk.,2014-11-05,2502100000,Utama,active,
BISI,BISI.JK,BISI International Tbk.,2007-05-28,3000000000,Utama,active,
BJBR,BJBR.JK,Bank Pembangunan Daerah Jawa B,2010-07-08,10416229249,Utama,active,
BJTM,BJTM.JK,Bank Pembangunan Daerah Jawa T,2012-07-12,14865343101,Utama,active,
BKDP,BKDP.JK,Bukit Darmo Property Tbk,2007-06-15,7513992252,Pemantauan Khusus,active,
BKSL,BKSL.JK,Sentul City Tbk.,1997-07-28,167708902705,Utama,active,
BKSW,BKSW.JK,Bank QNB Indonesia Tbk.,2002-11-21,34806467881,Pengembangan,active,
BLTA,BLTA.JK,Berlian Laju Tanker Tbk,1990-03-26,25940187103,Pemantauan Khusus,active,
BLTZ,BLTZ.JK,Graha Layar Prima Tbk.,2014-04-10,873937142,Pemantauan Khusus,active,
BMAS,BMAS.JK,Bank Maspion Indonesia Tbk.,2013-07-11,17921635680,Pengembangan,active,
BMRI,BMRI.JK,Bank Mandiri (Persero) Tbk.,2003-07-14,92399999996,Utama,active,
BMSR,BMSR.JK,Bintang Mitra Semestaraya Tbk,1999-12-29,1159200024,Pengembangan,active,
BMTR,BMTR.JK,Global Mediacom Tbk.,1995-07-17,16583997586,Utama,active,
BNBA,BNBA.JK,Bank Bumi Arta Tbk.,2006-06-01,3354120000,Pengembangan,active,
BNBR,BNBR.JK,Bakrie & Brothers Tbk,28 Agt 1989,173416832509,Pengembangan,active,
BNGA,BNGA.JK,Bank CIMB Niaga Tbk.,1989-11-29,24890783784,Utama,active,
BNII,BNII.JK,Bank Maybank Indonesia Tbk.,1989-11-21,75357433911,Utama,active,
BNLI,BNLI.JK,Bank Permata Tbk.,1990-01-15,35819545925,Utama,active,
BOLT,BOLT.JK,Garuda Metalindo Tbk.,2015-07-07,2343750000,Pengembangan,active,
BPFI,BPFI.JK,Woori Finance Indonesia Tbk.,2009-06-01,2673995362,Pengembangan,active,
BPII,BPII.JK,Batavia Prosperindo Internasio,2014-07-08,9884153240,Pengembangan,active,
BRAM,BRAM.JK,Indo Kordsa Tbk.,1990-09-05,450056980,Pengembangan,active,
BRMS,BRMS.JK,Bumi Resources Minerals Tbk.,2010-12-09,141784040338,Utama,active,
BRNA,BRNA.JK,Berlina Tbk.,1989-11-06,979110000,Pengembangan,active,
BRPT,BRPT.JK,Barito Pacific Tbk.,1993-10-01,93747218044,Utama,active,
BSDE,BSDE.JK,Bumi Serpong Damai Tbk.,2008-06-06,21171365812,Utama,active,
BSIM,BSIM.JK,Bank Sinarmas Tbk.,2010-12-13,19517921842,Utama,active,
BSSR,BSSR.JK,Baramulti Suksessarana Tbk.,2012-11-08,2616500000,Pengembangan,active,
BSWD,BSWD.JK,Bank Of India Indonesia Tbk.,2002-05-01,3651978177,Pemantauan Khusus,active,
BTEK,BTEK.JK,Bumi Teknokultura Unggul Tbk,2004-05-14,46277496376,Pemantauan Khusus,active,
BTEL,BTEL.JK,Bakrie Telecom Tbk.,2006-02-03,36822665755,Pemantauan Khusus,active,
BTON,BTON.JK,Betonjaya Manunggal Tbk.,2001-07-18,720000000,Pengembangan,active,
BTPN,BTPN.JK,Bank SMBC Indonesia Tbk.,2008-03-12,10536203690,Utama,active,
BUDI,BUDI.JK,Budi Starch & Sweetener Tbk.,1995-05-08,4498997362,Utama,active,
BUKK,BUKK.JK,Bukaka Teknik Utama Tbk.,2015-06-29,2640452000,Utama,active,
BULL,BULL.JK,Buana Lintas Lautan Tbk.,2011-05-23,15494436593,Pengembangan,active,
BUMI,BUMI.JK,Bumi Resources Tbk.,1990-07-30,371335392068,Utama,active,
BUVA,BUVA.JK,Bukit Uluwatu Villa Tbk.,2010-07-12,24617054642,Pengembangan,active,
BVIC,BVIC.JK,Bank Victoria International Tb,1999-06-30,18235266754,Utama,active,
BWPT,BWPT.JK,Eagle High Plantations Tbk.,2009-10-27,31525291000,Utama,active,
BYAN,BYAN.JK,Bayan Resources Tbk.,12 Agt 2008,33333335000,Utama,active,
CANI,CANI.JK,Capitol Nusantara Indonesia Tb,2014-01-16,833440000,Pemantauan Khusus,active,
CASS,CASS.JK,Cahaya Aero Services Tbk.,2011-12-05,2086950000,Utama,active,
CEKA,CEKA.JK,Wilmar Cahaya Indonesia Tbk.,1996-07-09,595000000,Pengembangan,active,
CENT,CENT.JK,Centratama Telekomunikasi Indo,2001-11-01,31183464900,Pengembangan,active,
CFIN,CFIN.JK,Clipan Finance Indonesia Tbk.,27 Agt 1990,3984520457,Utama,active,
CINT,CINT.JK,Chitose Internasional Tbk.,2014-06-27,1000000000,Pengembangan,active,
CITA,CITA.JK,Cita Mineral Investindo Tbk.,2002-03-20,3960361250,Utama,active,
CLPI,CLPI.JK,Colorpak Indonesia Tbk.,2001-11-30,306338500,Pengembangan,active,
CMNP,CMNP.JK,Citra Marga Nusaphala Persada,1995-01-10,6696354391,Utama,active,
CMPP,CMPP.JK,AirAsia Indonesia Tbk.,1994-12-08,10685124441,Pemantauan Khusus,active,
CNKO,CNKO.JK,Exploitasi Energi Indonesia Tb,2001-11-20,8956361206,Pemantauan Khusus,active,
CNTX,CNTX.JK,Century Textile Industry Tbk.,1979-05-22,70000000,Pemantauan Khusus,active,
COWL,COWL.JK,Cowell Development Tbk.,2007-12-19,4871214021,Pemantauan Khusus,active,
CPIN,CPIN.JK,Charoen Pokphand Indonesia Tbk,1991-03-18,16398000000,Utama,active,
CPRO,CPRO.JK,Central Proteina Prima Tbk.,2006-11-28,59572382787,Pengembangan,active,
CSAP,CSAP.JK,Catur Sentosa Adiprana Tbk.,2007-12-12,5683175151,Pengembangan,active,
CTBN,CTBN.JK,Citra Tubindo Tbk.,1989-11-28,800371500,Pengembangan,active,
CTRA,CTRA.JK,Ciputra Development Tbk.,1994-03-28,18535695255,Utama,active,
CTTH,CTTH.JK,Citatah Tbk.,1996-07-03,1230839821,Pengembangan,active,
DART,DART.JK,Duta Anggada Realty Tbk.,1990-05-08,3141390962,Pengembangan,active,
DEFI,DEFI.JK,Danasupra Erapacific Tbk.,2001-07-06,687266666,Pengembangan,active,
DEWA,DEWA.JK,Darma Henwa Tbk,2007-09-26,40687434244,Utama,active,
DGIK,DGIK.JK,Nusa Konstruksi Enjiniring Tbk,2007-12-19,5541165000,Pengembangan,active,
DILD,DILD.JK,Intiland Development Tbk.,1991-09-04,10365854185,Utama,active,
DKFT,DKFT.JK,Central Omega Resources Tbk.,1997-11-21,5638246600,Pengembangan,active,
DLTA,DLTA.JK,Delta Djakarta Tbk.,1984-02-27,800659050,Utama,active,
DMAS,DMAS.JK,Puradelta Lestari Tbk.,2015-05-29,48198111100,Utama,active,
DNAR,DNAR.JK,Bank Oke Indonesia Tbk.,2014-07-11,16721891185,Pengembangan,active,
DNET,DNET.JK,Indoritel Makmur Internasional,2000-12-11,14184000000,Utama,active,
DOID,DOID.JK,BUMA Internasional Grup Tbk.,2001-06-15,7651007132,Utama,active,
DPNS,DPNS.JK,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331129952,Pengembangan,active,
DSFI,DSFI.JK,Dharma Samudera Fishing Indust,2000-03-24,1857135500,Pengembangan,active,
DSNG,DSNG.JK,Dharma Satya Nusantara Tbk.,2013-06-14,10599842400,Utama,active,
DSSA,DSSA.JK,Dian Swastatika Sentosa Tbk,2009-12-10,192638080000,Utama,active,
DUTI,DUTI.JK,Duta Pertiwi Tbk,1994-11-02,1850000000,Pengembangan,active,
DVLA,DVLA.JK,Darya-Varia Laboratoria Tbk.,1994-11-11,1120000000,Pengembangan,active,
DYAN,DYAN.JK,Dyandra Media International Tb,2013-03-25,4272964279,Pengembangan,active,
ECII,ECII.JK,Electronic City Indonesia Tbk.,2013-07-03,1334333000,Pengembangan,active,
EKAD,EKAD.JK,Ekadharma International Tbk.,14 Agt 1990,3493875000,Pengembangan,active,
ELSA,ELSA.JK,Elnusa Tbk.,2008-02-06,7298500000,Utama,active,
ELTY,ELTY.JK,Bakrieland Development Tbk.,1995-10-30,43521913019,Pemantauan Khusus,active,
EMDE,EMDE.JK,Megapolitan Developments Tbk.,2011-01-12,3350000000,Pengembangan,active,
EMTK,EMTK.JK,Elang Mahkota Teknologi Tbk.,2010-01-12,61426451483,Utama,active,
ENRG,ENRG.JK,Energi Mega Persada Tbk.,2004-06-07,26346230250,Utama,active,
EPMT,EPMT.JK,Enseval Putera Megatrading Tbk,01 Agt 1994,2708640000,Pengembangan,active,
ERAA,ERAA.JK,Erajaya Swasembada Tbk.,2011-12-14,15950000000,Utama,active,
ERTX,ERTX.JK,Eratex Djaja Tbk.,21 Agt 1990,1286539792,Pengembangan,active,
ESSA,ESSA.JK,ESSA Industries Indonesia Tbk.,2012-02-01,17226975700,Utama,active,
ESTI,ESTI.JK,Ever Shine Tex Tbk.,1992-10-13,2015208720,Pengembangan,active,
ETWA,ETWA.JK,Eterindo Wahanatama Tbk,1997-05-16,4668671400,Pemantauan Khusus,active,
EXCL,EXCL.JK,XLSMART Telecom Sejahtera Tbk.,2005-09-29,18199862451,Utama,active,
FAST,FAST.JK,Fast Food Indonesia Tbk.,1993-05-11,4523610492,Pengembangan,active,
FASW,FASW.JK,Fajar Surya Wisesa Tbk.,1994-12-19,3221255423,Pemantauan Khusus,active,
FISH,FISH.JK,FKS Multi Agro Tbk.,2002-01-18,4800000000,Pengembangan,active,
FMII,FMII.JK,Fortune Mate Indonesia Tbk,2000-06-30,6400000000,Pengembangan,active,
FORU,FORU.JK,Fortune Indonesia Tbk,2002-01-17,465224000,Pengembangan,active,
FPNI,FPNI.JK,Lotte Chemical Titan Tbk.,2002-03-21,5566414000,Pengembangan,active,
GAMA,GAMA.JK,Aksara Global Development Tbk.,2012-07-11,10011027656,Pemantauan Khusus,active,
GDST,GDST.JK,Gunawan Dianjaya Steel Tbk.,2009-12-23,9242500000,Pengembangan,active,
GDYR,GDYR.JK,Goodyear Indonesia Tbk.,1980-12-22,410000000,Pengembangan,active,
GEMA,GEMA.JK,Gema Grahasarana Tbk.,12 Agt 2002,1600000000,Pengembangan,active,
GEMS,GEMS.JK,Golden Energy Mines Tbk.,2011-11-17,5882353000,Utama,active,
GGRM,GGRM.JK,Gudang Garam Tbk.,27 Agt 1990,1924088000,Utama,active,
GIAA,GIAA.JK,Garuda Indonesia (Persero) Tbk,2011-02-11,407091703837,Pengembangan,active,
GJTL,GJTL.JK,Gajah Tunggal Tbk.,1990-05-08,3484800000,Utama,active,
GLOB,GLOB.JK,Globe Kita Terang Tbk.,2012-07-10,1111112000,Pemantauan Khusus,active,
GMTD,GMTD.JK,Gowa Makassar Tourism Developm,2000-12-11,1015380000,Pengembangan,active,
GOLD,GOLD.JK,Visi Telekomunikasi Infrastruk,2010-07-07,1277276000,Pengembangan,active,
GOLL,GOLL.JK,Golden Plantation Tbk.,2014-12-23,3665000759,Pemantauan Khusus,active,
GPRA,GPRA.JK,Perdana Gapuraprima Tbk.,2007-10-10,4276655336,Pengembangan,active,
GSMF,GSMF.JK,Equity Development Investment,1989-10-23,14230399705,Pengembangan,active,
GTBO,GTBO.JK,Garda Tujuh Buana Tbk,2009-07-09,2500000000,Pengembangan,active,
GWSA,GWSA.JK,Greenwood Sejahtera Tbk.,2011-12-23,7800760000,Utama,active,
GZCO,GZCO.JK,Gozco Plantations Tbk.,2008-05-15,6000000000,Pengembangan,active,
HADE,HADE.JK,Himalaya Energi Perkasa Tbk.,2004-04-12,2120000000,Pemantauan Khusus,active,
HDFA,HDFA.JK,Radana Bhaskara Finance Tbk.,2011-05-10,6542445783,Pengembangan,active,
HERO,HERO.JK,DFI Retail Nusantara Tbk.,21 Agt 1989,4183634000,Pengembangan,active,
HEXA,HEXA.JK,Hexindo Adiperkasa Tbk.,1995-02-13,840000000,Utama,active,
HITS,HITS.JK,Humpuss Intermoda Transportasi,1997-12-15,7101084801,Pemantauan Khusus,active,
HMSP,HMSP.JK,H.M. Sampoerna Tbk.,15 Agt 1990,116318076900,Utama,active,
HOME,HOME.JK,Hotel Mandarine Regency Tbk.,2008-07-17,22212194782,Pemantauan Khusus,active,
HOTL,HOTL.JK,Saraswati Griya Lestari Tbk.,2013-01-10,3550001452,Pemantauan Khusus,active,
HRUM,HRUM.JK,Harum Energy Tbk.,2010-10-06,13518100000,Utama,active,
IATA,IATA.JK,MNC Energy Investments Tbk.,2006-09-13,31275829981,Pengembangan,active,
IBFN,IBFN.JK,Intan Baru Prana Tbk.,2014-12-22,1517332349,Pemantauan Khusus,active,
IBST,IBST.JK,Inti Bangun Sejahtera Tbk.,31 Agt 2012,1350904927,Pemantauan Khusus,active,
ICBP,ICBP.JK,Indofood CBP Sukses Makmur Tbk,2010-10-07,11661908000,Utama,active,
ICON,ICON.JK,Island Concepts Indonesia Tbk.,2005-07-08,1089750000,Pengembangan,active,
IGAR,IGAR.JK,Champion Pacific Indonesia Tbk,1990-11-05,927780600,Pengembangan,active,
IIKP,IIKP.JK,Inti Agri Resources Tbk,2002-10-14,33600000000,Pemantauan Khusus,active,
IKAI,IKAI.JK,Intikeramik Alamasri Industri,1997-06-04,13305799387,Pemantauan Khusus,active,
IKBI,IKBI.JK,Sumi Indo Kabel Tbk.,1991-01-21,1224000000,Pengembangan,active,
IMAS,IMAS.JK,Indomobil Sukses Internasional,1993-11-15,3994291039,Utama,active,
IMJS,IMJS.JK,Indomobil Multi Jasa Tbk.,2013-12-10,10849262500,Pengembangan,active,
IMPC,IMPC.JK,Impack Pratama Industri Tbk.,2014-12-17,54907000000,Utama,active,
INAF,INAF.JK,Indofarma Tbk.,2001-04-17,3099267500,Pemantauan Khusus,active,
INAI,INAI.JK,Indal Aluminium Industry Tbk.,1994-12-05,633600000,Pengembangan,active,
INCI,INCI.JK,Intanwijaya Internasional Tbk,1990-07-24,207656617,Pengembangan,active,
INCO,INCO.JK,Vale Indonesia Tbk.,1990-05-16,10539784534,Utama,active,
INDF,INDF.JK,Indofood Sukses Makmur Tbk.,1994-07-14,8780426500,Utama,active,
INDR,INDR.JK,Indo-Rama Synthetics Tbk.,03 Agt 1990,654351707,Pengembangan,active,
INDS,INDS.JK,Indospring Tbk.,10 Agt 1990,6562497100,Pengembangan,active,
INDX,INDX.JK,Tanah Laut Tbk,2001-05-17,437913588,Pengembangan,active,
INDY,INDY.JK,Indika Energy Tbk.,2008-06-11,5210192000,Utama,active,
INKP,INKP.JK,Indah Kiat Pulp & Paper Tbk.,1990-07-16,5470982941,Utama,active,
INPC,INPC.JK,Bank Artha Graha Internasional,23 Agt 1990,20021178779,Utama,active,
INPP,INPP.JK,Indonesian Paradise Property T,2004-01-12,11181971732,Pengembangan,active,
INRU,INRU.JK,Toba Pulp Lestari Tbk.,1990-06-18,1388883283,Pengembangan,active,
INTA,INTA.JK,Intraco Penta Tbk.,23 Agt 1993,3343935022,Pemantauan Khusus,active,
INTD,INTD.JK,Inter Delta Tbk,1989-12-18,591828000,Pengembangan,active,
INTP,INTP.JK,Indocement Tunggal Prakarsa Tb,1989-12-05,3515602799,Utama,active,
IPOL,IPOL.JK,Indopoly Swakarsa Industry Tbk,2010-07-09,6443379509,Pengembangan,active,
ISAT,ISAT.JK,Indosat Tbk.,1994-10-19,32250810957,Utama,active,
ISSP,ISSP.JK,Steel Pipe Industry of Indones,2013-02-22,7185992035,Utama,active,
ITMA,ITMA.JK,Sumber Energi Andalan Tbk.,1990-12-10,999053167,Pengembangan,active,
ITMG,ITMG.JK,Indo Tambangraya Megah Tbk.,2007-12-18,1129925000,Utama,active,
JAWA,JAWA.JK,Jaya Agra Wattie Tbk.,2011-05-30,16232951842,Pengembangan,active,
JECC,JECC.JK,Jembo Cable Company Tbk.,1992-11-18,756000000,Pengembangan,active,
JIHD,JIHD.JK,Jakarta International Hotels &,1984-02-29,2329040482,Pengembangan,active,
JKON,JKON.JK,Jaya Konstruksi Manggala Prata,2007-12-04,16308519860,Utama,active,
JPFA,JPFA.JK,Japfa Comfeed Indonesia Tbk.,1989-10-23,11726575201,Utama,active,
JRPT,JRPT.JK,Jaya Real Property Tbk.,1994-06-29,12910719100,Utama,active,
JSMR,JSMR.JK,Jasa Marga (Persero) Tbk.,2007-11-12,7257871200,Utama,active,
JSPT,JSPT.JK,Jakarta Setiabudi Internasiona,1998-01-12,2318736000,Pengembangan,active,
JTPE,JTPE.JK,Jasuindo Tiga Perkasa Tbk.,2002-04-16,6852050000,Utama,active,
KAEF,KAEF.JK,Kimia Farma Tbk.,2001-07-04,5566589577,Pengembangan,active,
KARW,KARW.JK,Meratus Jasa Prima Tbk.,1994-12-20,587152700,Pemantauan Khusus,active,
KBLI,KBLI.JK,KMI Wire & Cable Tbk.,1992-07-06,4007235107,Utama,active,
KBLM,KBLM.JK,Kabelindo Murni Tbk.,1992-06-01,1120000000,Pengembangan,active,
KBLV,KBLV.JK,First Media Tbk.,2000-02-25,1742167907,Pengembangan,active,
KBRI,KBRI.JK,Kertas Basuki Rachmat Indonesi,2008-07-11,8687995734,Pemantauan Khusus,active,
KDSI,KDSI.JK,Kedawung Setia Industrial Tbk.,1996-07-29,1620000000,Pengembangan,active,
KIAS,KIAS.JK,Keramika Indonesia Assosiasi T,1994-12-08,14929100000,Pemantauan Khusus,active,
KICI,KICI.JK,Kedaung Indah Can Tbk,1993-10-28,276000000,Pengembangan,active,
KIJA,KIJA.JK,Kawasan Industri Jababeka Tbk.,1995-01-10,20824888369,Utama,active,
KKGI,KKGI.JK,Resource Alam Indonesia Tbk.,1991-07-01,5000000000,Utama,active,
KLBF,KLBF.JK,Kalbe Farma Tbk.,1991-07-30,46813391540,Utama,active,
KOBX,KOBX.JK,Kobexindo Tractors Tbk.,2012-07-05,2272500000,Pengembangan,active,
KOIN,KOIN.JK,Kokoh Inti Arebama Tbk,2008-04-09,980843732,Pemantauan Khusus,active,
KONI,KONI.JK,Perdana Bangun Pusaka Tbk,22 Agt 1995,312000000,Pengembangan,active,
KOPI,KOPI.JK,Mitra Energi Persada Tbk.,2015-05-04,697266668,Pengembangan,active,
KPIG,KPIG.JK,MNC Tourism Indonesia Tbk.,2000-03-30,99857559263,Utama,active,
KRAS,KRAS.JK,Krakatau Steel (Persero) Tbk.,2010-11-10,19346396900,Pengembangan,active,
KREN,KREN.JK,Quantum Clovera Investama Tbk.,2002-06-28,18208470100,Pemantauan Khusus,active,
LAPD,LAPD.JK,Leyand International Tbk.,2001-07-17,3966350139,Pengembangan,active,
LCGP,LCGP.JK,Eureka Prima Jakarta Tbk.,2007-07-13,5630000914,Pemantauan Khusus,active,
LEAD,LEAD.JK,Logindo Samudramakmur Tbk.,2013-12-11,5799616328,Pengembangan,active,
LINK,LINK.JK,Link Net Tbk.,2014-06-02,2863195484,Pengembangan,active,
LION,LION.JK,Lion Metal Works Tbk.,20 Agt 1993,520160000,Pengembangan,active,
LMAS,LMAS.JK,Limas Indonesia Makmur Tbk,2001-12-28,787851525,Pemantauan Khusus,active,
LMPI,LMPI.JK,Langgeng Makmur Industri Tbk.,1994-10-17,1008517669,Pengembangan,active,
LMSH,LMSH.JK,Lionmesh Prima Tbk.,1990-06-04,96000000,Pemantauan Khusus,active,
LPCK,LPCK.JK,Lippo Cikarang Tbk,1997-07-24,5134685692,Pengembangan,active,
LPGI,LPGI.JK,Lippo General Insurance Tbk.,1997-07-22,3000000000,Pengembangan,active,
LPIN,LPIN.JK,Multi Prima Sejahtera Tbk,1990-02-05,425000000,Pengembangan,active,
LPKR,LPKR.JK,Lippo Karawaci Tbk.,1996-06-28,70898018369,Utama,active,
LPLI,LPLI.JK,Star Pacific Tbk,1989-10-23,1170432803,Pengembangan,active,
LPPF,LPPF.JK,Matahari Department Store Tbk.,1989-10-09,2258279280,Utama,active,
LPPS,LPPS.JK,Lenox Pasifik Investama Tbk.,1994-03-28,2588250000,Pengembangan,active,
LRNA,LRNA.JK,Eka Sari Lorena Transport Tbk.,2014-04-15,350000022,Pengembangan,active,
LSIP,LSIP.JK,PP London Sumatra Indonesia Tb,1996-07-05,6819963965,Utama,active,
LTLS,LTLS.JK,Lautan Luas Tbk.,1997-07-21,1560000000,Utama,active,
